,,BusStopCode,RoadName,Description,Latitude,Longitude,UpDown,LeftRight,HDB_Bus_Distance,Postal
26103,457,43581,Bt Batok West Ave 5,Blk 347,1.362519395,103.7513838,-15,0,95.03267014,650383
,458,43589,Bt Batok West Ave 5,Opp Blk 347,1.362272969,103.7515318,-15,0,76.28225213,650383
38564,457,43581,Bt Batok West Ave 5,Blk 347,1.362519395,103.7513838,-15,0,100.9700521,650384
,458,43589,Bt Batok West Ave 5,Opp Blk 347,1.362272969,103.7515318,-15,0,103.7672228,650384
38593,470,43649,Bt Batok West Ave 7,HomeTeamNS,1.36545844,103.750602,-15,1,185.8360151,650388
51715,291,76439,Tampines St 33,Blk 351,1.352881667,103.9626053,28,-2,182.496963,520346
23027,291,76439,Tampines St 33,Blk 351,1.352881667,103.9626053,28,-2,124.6453657,520347
70074,470,43649,Bt Batok West Ave 7,HomeTeamNS,1.36545844,103.750602,-15,1,171.4063839,650389
23054,291,76439,Tampines St 33,Blk 351,1.352881667,103.9626053,28,-2,93.32271944,520348
58284,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,142.9204039,520342
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,127.0461841,520342
61912,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,138.3023139,520345
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,127.3761857,520345
61879,291,76439,Tampines St 33,Blk 351,1.352881667,103.9626053,28,-2,51.9688751,520351
35753,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,116.8392698,520341
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,103.1626331,520341
51932,263,76261,Tampines St 45,Blk 489B,1.361640056,103.9574003,26,0,185.7827695,527498
,264,76269,Tampines St 45,Opp Blk 489A,1.361878204,103.9573982,26,0,160.702666,527498
14891,138,84261,Bedok Nth Ave 4,Saint Anthony's Canossian School,1.334189,103.941658,23,-5,56.67820824,460095
,139,84269,Bedok Nth Ave 4,Blk 95,1.334023333,103.9418503,23,-5,28.54301824,460095
23663,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,178.8657519,525497
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,161.9057369,525497
13081,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,151.2956421,521498
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,151.3040855,521498
12710,263,76261,Tampines St 45,Blk 489B,1.361640056,103.9574003,26,0,88.30747279,528498
,264,76269,Tampines St 45,Opp Blk 489A,1.361878204,103.9573982,26,0,63.02325571,528498
12779,259,76241,Tampines Ave 7,Blk 497D,1.358458027,103.9591706,27,0,155.4789533,526497
,260,76249,Tampines Ave 7,Blk 370,1.358366398,103.9594744,27,0,150.2705536,526497
,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,185.6018597,526497
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,164.7118072,526497
