,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat_hdb,lng_hdb,building,addr,postal,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,name,stop_id,line,no,lng_mrt,lat_mrt,mahattan_distance,mrt_cbd_dist,mrt_cbd_time,hdb_cbd_distance,hdb_cbd_time
1.0,1,BEACH RD,16.0,1970.0,Y,Y,N,N,N,N,KWN,142.0,0.0,1.0,138.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.295097408,103.8540683,RAFFLES HOTEL,1 BEACH ROAD RAFFLES HOTEL SINGAPORE 189673,189673,2.0,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR,CITY HALL MRT STATION,EW13 / NS25,EW,36.0,103.8525859,1.292936243,1245.657873,2159.7,3.623333333,2283.5,3.6683333333333334
4.0,3,BEACH RD,16.0,1970.0,Y,Y,N,N,N,N,KWN,138.0,0.0,1.0,134.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294801401,103.8544675,RAFFLES HOTEL SINGAPORE,3 BEACH ROAD RAFFLES HOTEL SINGAPORE SINGAPORE 189674,189674,2.0,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR,ESPLANADE MRT STATION,CC3,CC,48.0,103.8555041,1.293321608,1612.353588,2025.9,3.016666667,2888.2,4.7733333333333325
5.0,3,BEACH RD,16.0,1970.0,Y,Y,N,N,N,N,KWN,138.0,0.0,1.0,134.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294801401,103.8544675,RAFFLES HOTEL SINGAPORE,3 BEACH ROAD RAFFLES HOTEL SINGAPORE SINGAPORE 189674,189674,2.0,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR,CITY HALL MRT STATION,EW13 / NS25,EW,36.0,103.8525859,1.292936243,1245.657873,2159.7,3.623333333,2888.2,4.7733333333333325
8.0,1,BEDOK STH AVE 1,14.0,1975.0,Y,N,N,Y,N,N,BD,206.0,0.0,0.0,204.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320852087,103.9337211,NIL,1 BEDOK SOUTH AVENUE 1 SINGAPORE 460001,460001,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13450.9,16.058333333333334
10.0,10A,BEDOK STH AVE 2,5.0,1992.0,N,N,N,N,Y,N,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322585616,103.9368494,NIL,10A BEDOK SOUTH AVENUE 2 SINGAPORE 460010,460010,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13837.4,16.198333333333334
12.0,10B,BEDOK STH AVE 2,20.0,1994.0,Y,N,N,N,N,N,BD,56.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322353866,103.9361833,NIL,10B BEDOK SOUTH AVENUE 2 SINGAPORE 461010,461010,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13953.1,16.621666666666666
14.0,10C,BEDOK STH AVE 2,2.0,1994.0,Y,N,N,Y,N,N,BD,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322093899,103.9362221,HDB PUBLIC SHELTERS,10C BEDOK SOUTH AVENUE 2 HDB PUBLIC SHELTERS SINGAPORE 462010,462010,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13857.3,16.728333333333335
16.0,10D,BEDOK STH AVE 2,23.0,1994.0,Y,N,N,N,N,N,BD,84.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.321770859,103.9363266,NIL,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010,463010,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13877.3,16.808333333333334
18.0,10E,BEDOK STH AVE 2,21.0,1992.0,Y,N,N,N,N,N,BD,81.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.321620093,103.937041,NIL,10E BEDOK SOUTH AVENUE 2 SINGAPORE 464010,464010,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13779.6,16.261666666666667
20.0,10F,BEDOK STH AVE 2,24.0,1992.0,Y,N,N,N,N,N,BD,67.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322217735,103.9370013,NIL,10F BEDOK SOUTH AVENUE 2 SINGAPORE 465010,465010,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13728.7,16.058333333333334
22.0,12,BEDOK STH AVE 2,12.0,1975.0,Y,N,N,Y,N,N,BD,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,1.321103101,103.9369002,NIL,12 BEDOK SOUTH AVENUE 2 SINGAPORE 460012,460012,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,14456.2,16.775
24.0,12A,BEDOK STH RD,1.0,2004.0,N,N,N,N,N,Y,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320741212,103.9365598,NIL,12A BEDOK SOUTH ROAD SINGAPORE 461012,461012,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13515.6,16.003333333333334
26.0,13,BEDOK STH RD,14.0,1975.0,Y,N,N,Y,N,N,BD,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,1.320405131,103.9367412,PCF SPARKLETOTS PRESCHOOL @ BEDOK 13 (CC),13 BEDOK SOUTH ROAD PCF SPARKLETOTS PRESCHOOL @ BEDOK 13 (CC) SINGAPORE 460013,460013,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13510.2,15.948333333333332
28.0,13A,BEDOK STH RD,2.0,2004.0,N,N,N,N,Y,N,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320470371,103.9362019,MULTI STOREY CAR PARK,13A BEDOK SOUTH ROAD MULTI STOREY CAR PARK SINGAPORE 461013,461013,6.0,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER,TANAH MERAH MRT STATION,EW4,EW,143.0,103.9463465,1.327187135,15454.93348,15580.1,18.73833333,13482.6,15.746666666666666
